286,82403,8249,0,NaN,38,8249,2,1977,1,1,52,12,2,2,28,7,6,1,6,4,6,1,6,7,2,6,1,5,7,7,2,3,1,3,2,1,2,NaN,3,3,1,3,7,2,0,10,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,30,3,2,1,2,1,2,NaN,1,1,NaN,3,3,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,5,3,7,5,9,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,522,0,0,7,2,1,7,4,6,4,4,7,4,1,7,6,7,2,NaN,1,NaN,NaN,NaN,11,3,521,5
314,89603,8966,0,69,69,8966,2,1976,1,1,1,11,2,1,29,7,6,3,6,4,6,1,5,6,2,6,1,6,6,6,2,3,1,11,2,2,2,NaN,1,1,NaN,3,3,4,10,30,0,0,0,0,0,0,20,10,NaN,NaN,NaN,NaN,NaN,41,3,1,6,2,1,2,NaN,1,1,NaN,3,5,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,6,3,5,3,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,6,540,0,0,6,7,4,7,2,5,4,1,5,1,1,7,3,5,2,NaN,1,NaN,NaN,NaN,11,6,530,3
330,93803,9385,1,23,NaN,9385,2,1970,1,1,1,8,2,1,35,7,5,2,3,6,6,1,5,4,4,6,4,6,4,5,2,2,2,15,2,2,2,NaN,NaN,5,NaN,3,NaN,3,20,0,0,0,0,0,0,20,30,10,NaN,NaN,NaN,NaN,NaN,32,4,2,16,2,1,2,NaN,2,5,NaN,3,3,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,4,2,3,4,9,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,522,1,1,7,4,2,6,4,4,3,4,6,4,2,6,4,5,2,NaN,1,NaN,NaN,NaN,11,3,522,2
356,101205,10120,0,69,NaN,10120,2,1964,1,1,1,6,2,1,41,7,7,5,5,3,7,1,7,3,3,5,1,5,6,4,2,4,1,25,2,3,2,NaN,3,3,NaN,3,NaN,NaN,0,80,0,0,0,20,0,0,70,0,NaN,NaN,NaN,NaN,NaN,48,4,1,43,2,1,2,NaN,3,3,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,7,4,7,2,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,11,6,630,0,0,7,4,4,5,4,6,1,1,6,6,3,4,7,5,4,NaN,1,NaN,NaN,NaN,11,6,630,8
374,108503,10855,4,35,16,10855,2,1972,1,1,1,10,2,1,33,4,4,3,3,3,7,1,4,1,1,4,4,4,1,1,2,4,9,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,3,2,2,3,NaN,4,9,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,3,2,2,1,NaN,NaN,NaN,NaN,NaN,NaN,7,7,2,3,6,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,12,2,4,6,3,6,6,4,4,6,1,1,6,2,7,4,4,3,NaN,NaN,NaN,NaN,NaN,6,1,12,2
377,108803,10880,0,56,50,10880,2,1968,1,1,1,1,2,1,37,6,7,1,4,4,7,3,7,4,2,6,2,7,5,7,2,1,1,3,2,2,2,NaN,1,1,NaN,3,NaN,4,0,30,0,0,0,0,0,0,50,0,NaN,NaN,NaN,NaN,NaN,40,1,1,3,2,1,2,NaN,1,1,NaN,3,3,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,2,6,2,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,4,522,0,0,7,2,2,7,3,5,5,1,6,6,3,7,5,5,4,NaN,1,NaN,NaN,NaN,11,4,530,5
414,116002,11606,0,51,53,11606,2,1965,1,1,1,5,2,1,40,6,7,2,7,7,7,2,7,7,6,4,3,7,7,2,2,3,1,NaN,2,3,2,NaN,2,3,NaN,3,NaN,NaN,30,50,100,0,0,0,0,0,50,0,NaN,NaN,NaN,NaN,NaN,NaN,3,1,NaN,2,NaN,NaN,NaN,5,5,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,7,3,6,5,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,11,4,431,0,0,5,2,1,6,2,5,4,2,6,3,2,5,5,3,2,NaN,NaN,NaN,NaN,NaN,11,4,431,6
438,125904,12599,2,68,51,12599,2,1976,1,1,1,2,2,1,29,6,7,1,6,5,6,3,6,7,2,5,1,7,7,4,2,1,1,NaN,2,3,2,NaN,3,1,NaN,3,NaN,NaN,0,100,NaN,0,0,0,0,50,100,0,NaN,NaN,NaN,NaN,NaN,40,4,1,NaN,2,NaN,NaN,NaN,5,1,NaN,3,NaN,NaN,NaN,NaN,NaN,1,2,3,3,3,1,7,7,2,5,2,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,11,3,431,2,2,7,2,2,6,2,6,4,2,6,2,2,6,1,4,1,NaN,NaN,NaN,NaN,NaN,11,3,431,6
467,130802,13080,1,29,NaN,13080,2,1965,1,1,22,1,2,2,40,7,7,5,6,5,7,2,7,7,6,7,4,7,7,6,2,1,2,15,2,2,2,NaN,5,5,NaN,3,NaN,4,40,0,0,0,0,0,0,30,50,20,NaN,NaN,NaN,NaN,NaN,33,1,1,2,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,3,5,4,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,5,530,1,1,7,1,1,6,1,6,3,5,6,5,6,7,7,6,1,NaN,1,NaN,NaN,NaN,11,5,530,7
498,136702,13676,1,28,NaN,13676,2,1963,1,1,1,8,2,1,42,7,5,5,7,5,4,1,6,5,4,7,2,6,5,6,2,4,1,20,2,2,2,NaN,1,NaN,NaN,3,NaN,4,40,30,0,0,0,20,0,0,100,50,NaN,NaN,NaN,NaN,NaN,39,1,1,20,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,6,5,6,2,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,1,1,7,6,4,7,5,5,6,2,6,1,1,7,6,6,4,NaN,1,NaN,NaN,NaN,11,3,530,7
