3551,2550602,255068,0,30,30,255068,2,1973,1,1,1,1,2,1,32,7,7,1,7,7,7,1,7,6,1,5,7,7,7,7,2,3,1,2,2,2,2,NaN,3,1,NaN,3,NaN,2,0,0,0,0,0,20,0,0,20,0,NaN,NaN,NaN,NaN,NaN,42,1,1,24,2,1,2,NaN,2,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,7,1,6,4,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,0,0,1,NaN,NaN,NaN,4,NaN,NaN,6,6,7,1,7,5,7,NaN,NaN,1,NaN,NaN,NaN,11,3,521,5
8612,5195702,519570,1,NaN,NaN,519570,2,1963,2,2,1,4,1,1,42,6,4,3,3,5,6,2,4,4,5,6,6,6,4,5,2,1,9,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,4,1,3,1,41,1,1,24,2,2,2,NaN,5,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,2,2,3,5,9,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,1,1,6,3,3,6,3,6,2,3,6,2,2,6,6,6,4,NaN,1,NaN,NaN,NaN,6,3,12,4
1339,346402,34649,4,68,NaN,34649,2,1963,2,2,1,12,2,1,42,7,5,3,5,4,6,1,4,6,2,7,3,6,4,5,2,1,2,8,2,3,2,NaN,5,1,NaN,3,7,NaN,0,0,0,0,30,0,0,30,20,0,NaN,NaN,NaN,NaN,NaN,22,1,2,6,2,3,2,NaN,1,1,NaN,3,NaN,NaN,NaN,NaN,NaN,1,2,2,2,2,2,7,6,4,5,2,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,11,6,640,4,4,6,1,1,6,2,5,3,5,6,2,1,5,5,7,1,NaN,1,NaN,NaN,NaN,11,6,640,8
1400,362003,36200,2,36,23,36200,2,1977,1,1,1,4,2,1,28,5,5,6,5,6,4,4,5,1,3,5,5,4,6,5,2,1,9,NaN,2,NaN,NaN,NaN,NaN,NaN,4,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2,2,3,33,1,2,11,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,5,6,6,5,6,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,1,2,7,5,5,6,6,5,3,5,4,5,5,7,6,5,4,NaN,1,NaN,200,NaN,4,3,10,6
2222,797402,9253,3,23,NaN,9253,2,1966,1,1,1,3,2,1,39,5,5,4,5,4,7,5,3,2,6,4,4,5,2,4,2,1,2,12,2,2,2,NaN,4,4,NaN,3,NaN,4,40,30,0,0,0,0,0,0,40,10,NaN,NaN,NaN,NaN,NaN,24,1,2,12,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,6,4,4,5,6,8,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,5,530,3,3,7,6,6,7,5,7,6,1,6,2,2,5,6,5,5,NaN,1,NaN,NaN,NaN,11,5,530,3
2837,1217202,32573,3,NaN,NaN,32573,2,1977,1,1,1,2,2,1,28,7,6,4,6,6,4,1,4,5,5,5,3,4,4,3,2,3,1,5,2,2,2,NaN,5,1,NaN,3,NaN,4,20,30,10,10,0,0,0,0,40,70,NaN,NaN,NaN,NaN,NaN,9,1,4,NaN,2,1,2,NaN,1,1,NaN,2,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,7,6,3,5,2,8,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1127,NaN,12,3,530,0,3,6,3,1,3,2,4,3,2,6,3,2,7,5,5,3,NaN,1,NaN,NaN,NaN,11,3,530,5
4414,2729401,272949,2,51,NaN,272949,2,1969,1,1,1,12,2,1,36,6,7,6,6,4,5,1,7,6,3,6,2,4,6,3,2,1,1,8,2,2,2,NaN,3,3,NaN,3,NaN,NaN,0,0,0,0,0,0,0,60,80,0,NaN,NaN,NaN,NaN,NaN,40,2,1,NaN,2,1,2,NaN,2,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,4,7,5,6,6,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,6,640,2,2,7,4,2,5,2,5,4,2,1,5,2,5,6,6,3,NaN,1,NaN,NaN,NaN,11,6,630,3
4950,2826803,282685,0,51,43,282685,2,1980,1,1,1,10,2,1,25,6,6,5,7,4,5,5,6,2,2,5,3,6,6,5,2,3,1,10,2,2,2,NaN,1,NaN,NaN,3,NaN,4,60,0,0,20,50,0,0,0,50,40,NaN,NaN,NaN,NaN,NaN,41,1,1,35,2,1,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,5,6,5,7,3,7,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,3,530,0,0,7,4,3,5,4,4,4,2,6,2,3,5,4,4,3,NaN,1,NaN,NaN,NaN,11,3,530,6
6152,3074303,307432,1,45,53,307432,2,1980,1,1,1,11,1,1,25,6,7,4,5,2,7,4,6,4,2,5,2,4,4,3,2,3,1,60,2,2,2,NaN,5,1,NaN,3,NaN,4,10,50,10,0,50,0,0,30,50,70,NaN,NaN,NaN,NaN,NaN,45,3,1,15,2,1,2,NaN,5,1,NaN,3,5,NaN,NaN,NaN,NaN,1,2,2,2,2,2,7,7,5,7,2,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,11,4,540,0,1,7,4,4,6,3,5,3,4,5,2,2,5,4,4,2,NaN,1,NaN,NaN,NaN,11,4,530,5
3833,2597801,259780,1,56,39,259780,2,1969,1,1,1,6,2,1,36,7,7,2,4,6,4,2,6,4,6,7,4,6,6,3,2,1,1,7,2,2,2,NaN,1,1,NaN,3,NaN,5,40,50,10,10,50,60,0,60,90,60,NaN,NaN,NaN,NaN,NaN,20,1,2,20,2,2,2,NaN,1,1,NaN,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,6,2,3,6,8,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,11,6,530,0,1,5,3,3,6,3,5,2,2,5,2,1,6,5,5,1,NaN,1,NaN,NaN,NaN,11,6,540,3
